dataset,category_name,n_seeds,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,auc_mean,auc_std,error_rate_mean,error_rate_std,high_conf_error_rate_mean,high_conf_error_rate_std,mean_confidence_mean,mean_confidence_std,n_total_across_seeds
weibo,健康,3,0.9367717835235192,0.01794919532048771,0.9367816091954023,0.017945396547121815,0.9869164436515017,0.0037258293446748494,0.0632183908045977,0.017945396547121833,0.02586206896551724,0.008620689655172414,0.9589369107248817,0.003563264424960797,348
weibo,军事,3,0.8542395285873546,0.06564886633246889,0.8550724637681159,0.06641414050660634,0.9743589743589745,0.011750194089630366,0.14492753623188406,0.06641414050660636,0.028985507246376812,0.02510218561694025,0.9328522995412273,0.019404626633944853,69
weibo,国际,3,0.9629629629629629,0.06415002990995838,0.9629629629629629,0.06415002990995845,1.0,0.0,0.037037037037037035,0.06415002990995841,0.037037037037037035,0.06415002990995841,0.9784825347160222,0.020373594344861513,27
weibo,娱乐,3,0.9245682151678126,0.005610241741956963,0.943355119825708,0.004357298474945537,0.9740412979351033,0.003396691793974393,0.056644880174291944,0.004357298474945533,0.020334059549745823,0.0012578437237246757,0.961861736614369,0.006992319429274872,1377
weibo,政治,3,0.8328468392984522,0.03369874546267657,0.8333333333333334,0.03396178054056623,0.9154761904761904,0.010309826235528995,0.16666666666666666,0.033961780540566214,0.10784313725490197,0.03396178054056622,0.9394932918035992,0.004863655273585273,102
weibo,教育,3,0.9314502164502164,0.01795784278843055,0.9416666666666668,0.014433756729740593,0.9802943969610637,0.002501342296498723,0.05833333333333333,0.01443375672974064,0.025000000000000005,4.2491873609703695e-18,0.9591068074150524,0.0076179398593972806,240
weibo,社会,3,0.9435823110397972,0.0018471917847470581,0.9548989113530326,0.0015552099533437391,0.9913704751363096,0.0019527053643979702,0.045101088646967345,0.0015552099533437012,0.009849663037843443,0.004751244888497501,0.9664302497420331,0.008220564715771367,1929
weibo,科学,3,0.8505890505890505,0.051854237038462946,0.8846153846153846,0.03846153846153849,0.9687687687687688,0.00375074954858765,0.11538461538461538,0.038461538461538464,0.025641025641025644,0.022205779584216375,0.941187687203474,0.011718538604594203,156
weibo,经济,3,0.930536354378788,0.012017271949119867,0.9319727891156463,0.011782658554890335,0.9804597701149426,0.007178158618848748,0.06802721088435375,0.011782658554890319,0.04081632653061224,0.02040816326530612,0.967197604950714,0.00859026919325825,147
weibo21,军事,3,0.9369534595447373,0.028394195541027966,0.9420289855072465,0.0251021856169403,0.9972222222222222,0.004811252243246865,0.057971014492753624,0.02510218561694025,0.014492753623188406,0.025102185616940248,0.9685561861623011,0.003097736833325692,69
weibo21,医药健康,3,0.9150893083241036,0.009466604501028989,0.9153439153439153,0.009164289987136885,0.9791666666666666,0.003816470662500139,0.08465608465608465,0.009164289987136916,0.047619047619047616,0.0,0.9576208294719334,0.0065942642363827795,189
weibo21,政治,3,0.9768575730132576,0.026296310861460406,0.9797979797979798,0.02314432169169614,0.9975308641975308,0.003401640480068042,0.020202020202020204,0.023144321691696165,0.005050505050505051,0.008747731351357967,0.9727355805730898,0.0072302182175999034,198
weibo21,教育考试,3,0.9423344517166027,0.020048439883693786,0.946236559139785,0.01862420223192346,0.9692982456140351,0.02442001913521936,0.053763440860215055,0.01862420223192341,0.03225806451612903,0.0,0.9723006419732482,0.020349457120497114,93
weibo21,文体娱乐,3,0.9833823412823505,0.005794941865042163,0.9847094801223242,0.005296791460455315,0.9992753623188406,0.0012551092808470053,0.015290519877675842,0.005296791460455283,0.0030581039755351682,0.005296791460455283,0.9796490835038801,0.00473379434620191,327
weibo21,灾难事故,3,0.972877670801168,0.0007050994700485725,0.9772727272727272,1.3597399555105182e-16,0.9991728701406121,0.001432630940917199,0.022727272727272724,4.2491873609703695e-18,0.0,0.0,0.9794396944066769,0.004545666904015157,132
weibo21,社会生活,3,0.921053362003355,0.014307357844538774,0.9221014492753623,0.013677236295780347,0.9756746031746032,0.0006873217490352663,0.07789855072463768,0.013677236295780342,0.03985507246376812,0.006275546404235063,0.9613910662270487,0.005152372761686894,552
weibo21,科技,3,0.9122749231444883,0.03556142962399866,0.9215686274509803,0.03396178054056623,0.9747474747474748,0.02314432169169614,0.0784313725490196,0.03396178054056622,0.0392156862745098,0.03396178054056622,0.9506646377208465,0.02712840905410327,51
weibo21,财经商业,3,0.9357179423907719,0.021822430644412222,0.9444444444444443,0.019583656816050576,0.9879115226337448,0.004960725700099278,0.05555555555555556,0.0195836568160506,0.017094017094017092,0.007401926528072125,0.9626168785370802,0.012358803292629904,234
