rows,macro_f1,accuracy,auc,brier,ece,high_conf_error_rate,selector_margin_mean,dataset,seed,split,selector_mode,reliability_signal,reliability_lambda,reliability_gating,reliability_stats_mode,reliability_ema_momentum,regret_lambda,route_balance_lambda,regret_margin,router_tau_start,router_tau_end,adapter_dim,router_hidden,eval_total_epochs,variant_tag,checkpoint,reliability_stats_count,tag,weak_rows,weak_macro_f1,weak_accuracy,support_metric_better_count,delta_macro_f1_vs_ref,delta_accuracy_vs_ref,delta_auc_vs_ref,delta_ece_vs_ref,delta_brier_vs_ref,delta_hce_vs_ref,image_conflict_rate,image_mean_cosine
615,0.9398373983739837,0.9398373983739837,0.9814066631411951,0.0481960543353624,0.011092539692398923,0.01951219512195122,0.004060177299065318,weibo21,42,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64,128,5,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round5_r5a_smoke/seed42/eval/checkpoints_aux_weight_2p0/weibo21_seed42_parameter_panda.pkl,,aux_weight_2p0,116,0.9221302304766168,0.9224137931034483,4,0.0016627951993805068,0.001626016260162566,0.0004970914859862008,-0.02158310097865595,-0.004732865195173609,-0.0065040650406504065,0.024675324675324677,0.38416370116151544
615,0.9381746031746032,0.9382113821138212,0.9809095716552089,0.05292891953053601,0.03267564067105487,0.026016260162601626,0.004172147580278598,weibo21,42,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64,128,5,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round5_r5a_smoke/seed42/eval/checkpoints_deterministic_train_l0/weibo21_seed42_parameter_panda.pkl,,deterministic_train_l0,116,0.896274217585693,0.896551724137931,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10649350649350649,0.15909795950804898
615,0.9381746031746032,0.9382113821138212,0.9809095716552089,0.05292891953053601,0.03267564067105487,0.026016260162601626,0.004172147580278598,weibo21,42,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64,128,5,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round5_r5a_smoke/seed42/eval/checkpoints_same_budget_noop_l0/weibo21_seed42_parameter_panda.pkl,,same_budget_noop_l0,116,0.896274217585693,0.896551724137931,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10649350649350649,0.15909795950804898
615,0.9365846951914356,0.9365853658536586,0.983765203595981,0.04780633364213472,0.03248790660403371,0.024390243902439025,0.00411589669018257,weibo21,42,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64,128,5,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round5_r5a_smoke/seed42/eval/checkpoints_aux_weight_0p0/weibo21_seed42_parameter_panda.pkl,,aux_weight_0p0,116,0.9039662828328441,0.9051724137931034,4,-0.0015899079831676044,-0.001626016260162566,0.0028556319407720965,-0.00018773406702116135,-0.005122585888401289,-0.0016260162601626008,0.5766233766233766,-0.01505693280415506
615,0.9365041126062568,0.9365853658536586,0.9821364357482814,0.0527326707097687,0.02617951058953004,0.027642276422764227,0.004174974488049018,weibo21,42,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64,128,5,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round5_r5a_smoke/seed42/eval/checkpoints_r5a_image_project_l1p0/weibo21_seed42_parameter_panda.pkl,,r5a_image_project_l1p0,116,0.9136904761904762,0.9137931034482759,3,-0.00167049056834645,-0.001626016260162566,0.0012268640930724883,-0.006496130081524831,-0.00019624882076731132,0.0016260162601626008,0.05844155844155844,0.2822231542715174
615,0.9333333333333333,0.9333333333333333,0.9836594394500264,0.051455123705023434,0.025495328302604033,0.01951219512195122,0.004092023818473506,weibo21,42,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64,128,5,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round5_r5a_smoke/seed42/eval/checkpoints_aux_weight_0p5/weibo21_seed42_parameter_panda.pkl,,aux_weight_0p5,116,0.8954326923076923,0.896551724137931,4,-0.0048412698412698685,-0.004878048780487809,0.002749867794817562,-0.007180312368450837,-0.001473795825512575,-0.0065040650406504065,0.07272727272727272,0.24133742650125672
615,0.9283368644067796,0.9284552845528455,0.98034902168165,0.0559124305584546,0.02295997783700688,0.022764227642276424,0.004254067816385408,weibo21,42,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64,128,5,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round5_r5a_smoke/seed42/eval/checkpoints_generic_pcgrad_l1p0/weibo21_seed42_parameter_panda.pkl,,generic_pcgrad_l1p0,116,0.9136904761904762,0.9137931034482759,2,-0.009837738767823567,-0.009756097560975618,-0.0005605499735589214,-0.00971566283404799,0.0029835110279185922,-0.0032520325203252015,0.09220779220779221,0.15412191224674537
615,0.926654740608229,0.926829268292683,0.9816181914331041,0.05664696939950005,0.020363680874111067,0.022764227642276424,0.004257799551738956,weibo21,42,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64,128,5,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round5_r5a_smoke/seed42/eval/checkpoints_generic_cagrad_l1p0/weibo21_seed42_parameter_panda.pkl,,generic_cagrad_l1p0,116,0.9137674695212608,0.9137931034482759,3,-0.011519862566374162,-0.011382113821138184,0.0007086197778952696,-0.012311959796943803,0.0037180498689640407,-0.0032520325203252015,0.06103896103896104,0.24406099478485874
615,0.9252014721746304,0.9252032520325203,0.9820624008461132,0.05079262064331772,0.02368758349410614,0.01951219512195122,0.004133558660987916,weibo21,42,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64,128,5,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round5_r5a_smoke/seed42/eval/checkpoints_aux_weight_1p5/weibo21_seed42_parameter_panda.pkl,,aux_weight_1p5,116,0.9222693768148313,0.9224137931034483,4,-0.01297313099997277,-0.013008130081300862,0.0011528291909043142,-0.00898805717694873,-0.0021362988872182867,-0.0065040650406504065,0.01818181818181818,0.3761500936920767
615,0.921904761904762,0.9219512195121952,0.9827498677948177,0.0586811692773559,0.030140338466991178,0.01951219512195122,0.004102866630244061,weibo21,42,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64,128,5,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round5_r5a_smoke/seed42/eval/checkpoints_random_sign_l1p0/weibo21_seed42_parameter_panda.pkl,,random_sign_l1p0,116,0.8954326923076923,0.896551724137931,3,-0.016269841269841212,-0.016260162601625994,0.001840296139608788,-0.0025353022040636927,0.005752249746819892,-0.0065040650406504065,0.04025974025974026,0.3581744548447382
